          ordinal hint RVA      name
        282  119 0009A560 picture_fifo_Pop
        283  11A 0009A520 picture_fifo_Push
        284  11B 0009B9A0 picture_pool_Enum
        285  11C 0009AFE0 picture_pool_Get
        286  11D 0009B990 picture_pool_GetSize
        287  11E 0009AA90 picture_pool_New
        288  11F 0009A9E0 picture_pool_NewExtended
        289  120 0009AB70 picture_pool_NewFromFormat
        290  121 0009A980 picture_pool_Release
        291  122 0009B260 picture_pool_Reserve
        292  123 0009B6D0 picture_pool_Wait
        293  124 00099A80 plane_CopyPixels
        294  125 0002E3D0 playlist_Add
        295  126 0002E490 playlist_AddExt
        296  127 0002D940 playlist_AddInput
        297  128 00023630 playlist_AssertLocked
        298  129 0002BFD0 playlist_ChildSearchName
        299  12A 0002D560 playlist_Clear
        300  12B 00023640 playlist_Control
        301  12C 00024A30 playlist_CurrentInput
        302  12D 00024A00 playlist_CurrentInputLocked
        303  12E 00024AF0 playlist_CurrentPlayingItem
        304  12F 00021240 playlist_Deactivate
        305  130 00021110 playlist_EnableAudioFilter
        306  131 0002AB10 playlist_Export
        307  132 00020F60 playlist_GetAout
        308  133 0002F0F0 playlist_GetNodeDuration
        309  134 0002AD50 playlist_Import
        310  135 00030230 playlist_IsServicesDiscoveryLoaded
        311  136 0002D480 playlist_ItemGetById
        312  137 0002D4F0 playlist_ItemGetByInput
        313  138 0002FAD0 playlist_LiveSearchUpdate
        314  139 00023610 playlist_Lock
        315  13A 00021080 playlist_MuteGet
        316  13B 000210C0 playlist_MuteSet
        317  13C 0002E580 playlist_NodeAddCopy
        318  13D 0002D790 playlist_NodeAddInput
        319  13E 0002B680 playlist_NodeCreate
        320  13F 0002BF10 playlist_NodeDelete
        321  140 0002A830 playlist_RecursiveNodeSort
        322  141 0002FDB0 playlist_ServicesDiscoveryAdd
        323  142 00030460 playlist_ServicesDiscoveryControl
        324  143 0002FF30 playlist_ServicesDiscoveryRemove
        325  144 000307A0 playlist_SetRenderer
        326  145 00024B10 playlist_Status
        327  146 0002E7A0 playlist_TreeMove
        328  147 0002EB20 playlist_TreeMoveMany
        329  148 00023620 playlist_Unlock
        330  149 00020F70 playlist_VolumeGet
        331  14A 00020FD0 playlist_VolumeSet
        332  14B 00021030 playlist_VolumeUp
        333  14C 000B11E0 sdp_AddAttribute
        334  14D 000B1260 sdp_AddMedia
        335  14E 00095090 secstotimestr
        336  14F 000B2F60 sout_AccessOutControl
        337  150 000B2ED0 sout_AccessOutDelete
        338  151 000B2DF0 sout_AccessOutNew
        339  152 000B2F30 sout_AccessOutRead
        340  153 000B2F10 sout_AccessOutSeek
        341  154 000B2F50 sout_AccessOutWrite
        342  155 000B08C0 sout_AnnounceRegisterSDP
        343  156 000B0F80 sout_AnnounceUnRegister
        344  157 000B3D80 sout_EncoderCreate
        345  158 000B3220 sout_MuxAddStream
        346  159 000B31E0 sout_MuxDelete
        347  15A 000B3620 sout_MuxDeleteStream
        348  15B 000B3B50 sout_MuxFlush
        349  15C 000B3B60 sout_MuxGetStream
        350  15D 000B2FC0 sout_MuxNew
        351  15E 000B3A30 sout_MuxSendBuffer
        352  15F 000B3C30 sout_StreamChainDelete
        353  160 000B3D50 sout_StreamChainNew
        354  161 0007EC20 spu_ChangeFilters
        355  162 0007EB90 spu_ChangeSources
        356  163 0007E9E0 spu_ClearChannel
        357  164 0007B000 spu_Create
        358  165 0007B440 spu_Destroy
        359  166 0007BA30 spu_PutSubpicture
        360  167 0007E9A0 spu_RegisterChannel
        361  168 0007BEC0 spu_Render
        362  169 000AC050 subpicture_Delete
        363  16A 000ABF40 subpicture_New
        364  16B 000AC5E0 subpicture_NewFromPicture
        365  16C 000AC190 subpicture_Update
        366  16D 000AC7F0 subpicture_region_ChainDelete
        367  16E 000AC9A0 subpicture_region_Copy
        368  16F 000AC770 subpicture_region_Delete
        369  170 000AC4E0 subpicture_region_New
        370  171 000ABB90 text_segment_ChainDelete
        371  172 000ABBF0 text_segment_Copy
        372  173 000ABB30 text_segment_Delete
        373  174 000AB9D0 text_segment_New
        374  175 000ABA10 text_segment_NewInheritStyle
        375  176 000AB540 text_style_Copy
        376  177 000AB490 text_style_Create
        377  178 000AB9A0 text_style_Delete
        378  179 000AB8E0 text_style_Duplicate
        379  17A 000AB5E0 text_style_Merge
        380  17B 000AB3E0 text_style_New
        381  17C 000C2220 update_Check
        382  17D 000C21A0 update_Delete
        383  17E 000C2320 update_Download
        384  17F 000C23C0 update_GetRelease
        385  180 000C22A0 update_NeedUpgrade
        386  181 000C2110 update_New
        387  182 0008D9A0 us_asprintf
        388  183 0008D980 us_atof
        389  184 0008D960 us_strtod
        390  185 0008D970 us_strtof
        391  186 0008D990 us_vasprintf
        392  187 0008F660 utf8_fprintf
        393  188 0008F490 utf8_vfprintf
        394  189 000A5C20 var_AddCallback
        395  18A 000A5F00 var_AddListCallback
        396  18B 000A48C0 var_Change
        397  18C 000A60F0 var_Create
        398  18D 000A5C50 var_DelCallback
        399  18E 000A5F30 var_DelListCallback
        400  18F 000A4710 var_Destroy
        401  190 000A6C60 var_FreeList
        402  191 000A5B80 var_Get
        403  192 000A5450 var_GetAndSet
        404  193 000A5AE0 var_GetChecked
        405  194 000A5F60 var_Inherit
        406  195 000A6A70 var_InheritURational
        407  196 000A66B0 var_LocationParse
        408  197 000A5AD0 var_Set
        409  198 000A57F0 var_SetChecked
        410  199 000A5C80 var_TriggerCallback
        411  19A 000A5760 var_Type
        412  19B 00097BD0 video_format_ApplyRotation
        413  19C 000974B0 video_format_CopyCrop
        414  19D 00096F90 video_format_FixRgb
        415  19E 00097590 video_format_GetTransform
        416  19F 00097DC0 video_format_IsSimilar
        417  1A0 00097F20 video_format_Print
        418  1A1 000974C0 video_format_ScaleCropAr
        419  1A2 00097190 video_format_Setup
        420  1A3 00097700 video_format_TransformBy
        421  1A4 000978C0 video_format_TransformTo
        422  1A5 0009E610 vlc_CPU
        423  1A6 000AFBE0 vlc_GetCPUCount
        424  1A7 000A1940 vlc_Log
        425  1A8 000A1CD0 vlc_LogSet
        426  1A9 00091640 vlc_UrlClean
